photo_identifier,title
00000722,Jimmie Larsen Standing by a 1912 Studebaker ' Flanders'
00000724,"Baseball Boosters - Cherry City, 1925"
00000726,Parade C. 1920-' 22 on E. 14th. St.
00000727,Mathews and Boitano Billard Parlor.
00000728,"Alameda County Courthouse, October 1868"
00000729,Palm Court
00000730,"August Thierry Liquor Store, Southeast Corner Washington and Ward Streets."
00000731,"Thierry Liquor Store C. 1895, with Thierry Family"
00000732,The Mel Dutra family in front of home on E. 14th St. and 138th Ave. Cir. 1890
00000734,Lincoln School ca 1920
00000737,"First Masonic Temple, 1312 Clarke St."
00000738,Electric Car Crossing San Leandro Creek
00000740,"Aerial View of San Leandro, Davis Street and San Leandro Boulevard showing Caterpillar Tractor Co., Del Monte Cannery, Stenzel Cannery, Pickle Works, Old St. Leander's Church, etc., 1947"
00000742,Webber House Cir. 1900
00000745,"Class Picture, Clark and Hepburn Union School, 1909"
00000746,"Aerial View, Washington & Estudillo"
00000748,"Best Theatre, 1920"
00000750,"Baseball Team at San Leandro Ballpark,1928"
00000751,"Bill Estate, Estudillo & Huff Ave., 1931"
00000752,"Baseball Team, San Leandro Ballpark, 1923"
00000754,"Best Building, Estudillo & East 14th. St., 1965"
00000755,"East 14th and Williams Streets, 1924"
00000758,"Cigar Store, Callan Ave. & East 14th St. Gerald Baradas, Circa 1919"
00000759,San Leandro Ball Park 1925
00000760,"Baseball Team Champs. Friden Calculators Industrial Leagues, 1947"
00000761,"Aerial View of San Leandro taken October 2, 1951, Pinpointing four largest industries"
00000851,"C. L. Best Tractor Company, 1922"
00000852,"Little Shul, 1970"
00000853,"Little Shul Re-Dedication, 1970"
00000854,"Little Shul Re-Dedication, 1970"
00000855,"Little Shul, 1970"
00000856,Estudillo House
00000873,"Groundbreaking at De-Sota, Nov. 1945"
00000874,"Benjamin F. Mason Home, Aug. 1939"
00000875,"San Leandro Lion's Club Minstrel Show, 1939, 'Pirate Gold'"
00000877,"A 1939 Photograph of Andy Galvan's Barber Shop, Showing Ed Bordanaro"
00000878,"City Plaza, 1940"
00000881,"Freeman Block, 1925"
00000882,The House of Ed's
00000883,"Oakland, San Leandro and Haywards Electric Railway on opening day in San Leandro Plaza, May 7, 1892"
00000884,"Group Picture, 1905"
00000885,Groundbreaking for New Building
00000886,St. Leander's School
00000887,Estudillo Home
00000890,Estudillo and Foothill Looking West
00000891,"San Leandro Plaza, 1890"
00000893,San Leandro Lion's Float
00000907,Freeman Block
00000908,"Leslie J. Freeman, 1912"
00000909,San Leandro Plaza Looking South
00000911,"View of Casa Peralta, taken in 1939"
00000912,"View of Casa Peralta Courtyard, taken in 1939"
00000914,"View of San Leandro Plaza, taken in 1940"
00000915,"A View of the Estudillo Home, taken in 1940"
00000916,"Group shot of Firemen in front of the Union House Co. No. 1, taken in 1915"
00000917,Old St. Leander's Catholic Church
00000937,"View of East 14th Street Showing the Benjamin Moore Paints Store, the National Dollar Store, the Guadalajara Restaurant, and the 88 Cents Store"
00000946,"View of San Leandro Plaza, taken in the 1930's"
00000947,View of the Tony Thomas Building and the H. Ormand Jewelry Store
00000954,"East 14th Street Scene, Showing the I.O.O.F. Building and the Hemler Hardware Store, 1930 CA"
00000957,"View of San Leandro Plaza, CA. 1930"
00000960,"View of San Leandro Plaza, Showing Hotel Elmer"
00000962,View of McKinley School
00000963,Estudillo Home on West Estudillo
00000964,St. Leander's School
00000966,Grounds of Old Webber House
00000968,Caterpillar Office on Davis Street
00000969,"Chevrolet Zone Office, General Motors Parts Division"
00000972,Parade Float at San Leandro Plaza
00000978,Friden Calculators on Washington Avenue
00000982,Casa Peralta: Door leading to tank house
00000990,"Godenaux and Hink store Buildings, 1930's."
00000991,Lincoln School
00000992,Odd Fellows Temple on E.14th Street at the Plaza
00000997,Tennis Court on Davis Street. Estudillo Park is the Site
00000999,E. 14th Street with Murphy Building on the Corner of Davis
00001000,U. P. E. C. Building on E. 14th Street
00001004,"San Leandro Plaza, 1930s"
00001014,Old St. Leander's Catholic Chruch on Carpentier Street
00001015,Fountain in the Casa Peralta
00001016,St. Leander''s Catholic School
00001022,"Tony Thomas Building, E.14th and West Estudillo"
00001026,View of Casa Peralta
00001029,"Pelton Home and Realty, Where Pelton Center is Now"
00001030,Street Scene at the Corner of Estudillo and Eighth Streets
00001031,"San Leandro Plaza with Palm Trees, ca 1930"
00001037,First Presbyterian Church
00001042,"George Davis, son of William Heath Davis"
00001043,"George Davis, son of William Heath Davis"
00001045,"St. Leander's, Back"
00001046,"Thomas Building, ca 1940"
00001047,Bank of America
00001048,Old San Leandro High School
00001073,San Lorenzo Cemetery
00001074,Tilted Tombstones in San Lorenzo Cemetery
00001075,Plaza Fountain
00001076,Portrait of Guillermo Castro
00001078,"Dedication of City Plaza, Beginning of Plaza Project 1, 1962"
00001079,"San Leandro's Old Plaza, Washington and E.14th St."
00001080,"Home of Ignacio Peralta, Alta Mira Club, ca 1860"
00001082,"Estudillo House in the 1860's, on corner of Washington and Davis on the Plaza,"
00001193,"Groundbreaking for Friden Calculating Machine Co., June 2, 1936, on Washington Avenue."
00001194,"San Leandro Hotel, Corner of E. 14th St. and Estudillo, in the 1890's"
00001197,"Freeman Block, Dutton and E. 14th St."
00001199,"Freeman Block, Dutton and E. 14th St."
00001201,"Lions Club Flower Float, taken on the San Leandro Plaza in 1939"
00001203,Dutton Avenue and East 14th Street car tracks taken up
00001211,"Chrysler Motor Parts, Davis Street, San Leandro"
00001212,"IOOF Building on E.14th Street, Facing the Plaza, May 26, 1938"
00001213,Portrait
00001214,"San Leandro Plaza Looking South from E.14th at Callan, 1941"
00001216,"Freeman Building on E.14th Street looking toward Dutton Ave., Delmar Theater, far left"
00001224,"Two men sitting on a car, ca 1960"
00001225,"House of Eds Men's Wear store on E. 14th St., ca 1960"
00001231,"Diamond Jubilee Barbeque, 1939"
00001238,"Freeman Drug Store, 1931"
00001239,"Home of Benjamin F. Mason, May 1, 1939"
00001240,Freeman Drug Store
00001241,"Freeman Drug Store, ca 1930"
00001242,Casa Peralta
00001244,Caterpillar Manufacturing Company office on Davis Street
00001252,San Francisco Float at San Leandro Plaza
00001260,San Leandro City Hall Under Construction
00001263,"Leslie J. Freeman, 1912"
00001264,"Mrs. J. R. Freeman, 1930"
00001265,Catholic Church Diamond Jubilee
00001280,"Oyster and Chophouse, ca 1910"
00001282,"Wells Fargo Bank Building, ca 1970"
00001283,Two Ladies and a Gentleman
00001284,Two Women
00001290,"Drayage Wagon and Driver, ca 1900"
00001291,"J. S. Alves Family Home, 14350 Washington Ave."
00001301,"San Leandro School Band, 1914"
00001302,"Automobile decorated with Cherries, 1913"
00001303,"Class Picture of Lincoln School, Christmas 1911"
00001304,"Class Picture, 1913"
00001305,Mrs. Ralph L. McMillan as a Girl
00001307,"Lincoln School built in 1910, ca 1914"
00001308,"Girl and Doll Buggy, 1916"
00001312,"Calling Card, Manuel Garcia, dentist."
00001313,"Manuel J. Garcia, 1893"
00001314,"Newspaper Clipping, 1917"
00001315,John W. Haas's business card from the 1890's
00001316,Newspaper Clipping - John W. Haas appointed to important position
00001317,"San Lorenzo Cemetary Documents, March 3, 1874"
00001321,"Estudillo House, ca 1900-1910"
00001323,"Hing Kee Chinese Laundry, 1917"
00001324,Hing Kee Laundry
00001328,"San Leandro Plaza with Fountain, Herrscher Building"
00001329,Haas Residence
00001330,"Carnegie Public Library, San Leandro"
00001331,"San Leandro Plaza, Haywards and San Lorenza Aves, looking east"
00001348,"Old St. Leander's Catholic Church, 1880"
00001349,Old St. Leander's Catholic Church
00001355,"Thad Bradley Bicycling in front of Ury House, ca 1900"
00001377,"Group at Beach, Foot of Davis Street, 1910"
00001378,"Group at Beach, Foot of Davis Street, 1910"
00001380,Sarah
00001381,"Back of Webber House, 1909 or 1910"
00001382,"Joe Hearst, 1909 or 1910"
00001383,"Alzina Dumont, 1909 or 1910"
00001384,"Jeanette Stanley as a baby, 1909 or 1910"
00001385,"Group at Beach, 1910"
00001386,"Group at Beach, 1910"
00001387,"Hayward High School, 1902 or 1903"
00001388,"Group at the Webber House, ca 1910"
00001390,"Irma Rideout, 1910"
00001394,"Martin Nelson, 1910 or 1911"
00001403,"Telegram, 1902"
00001406,"Lincoln School Class, Low Second Grade, 1915"
00001407,"Frank R. Branch Blacksmith Shop, ca 1911"
00001410,"Lincoln School Graduating Class, 1922"
00001422,"Baseball Team, Year 1930"
00001423,John and Mary Mathews
00001424,"Mary E. Furtado's Home, Ward St."
00001425,Workmen at Best Foundry
00001426,Workers from Best Foundry
00001427,"William and Lena Mathews, as children"
00001443,"Casa Peralta Gate, 1972"
00001444,"Casa Peralta Entrance, 1972"
00001445,"Casa Peralta Courtyard, 1972"
00001446,"Casa Peralta Gate, 1972"
00001447,"Casa Peralta Main Entrance, 1972"
00001448,"Home of Viola Best Webster, 1972"
00001449,"Best Home at 1315 Clark Street, 1972"
00001451,"Casa Peralta Courtyard, 1972"
00001452,"Casa Peralta Main Entrance, 1972"
00001453,"Casa Peralta Doorway, 1972"
00001456,"Main Entrance to Casa Peralta, 1972"
00001458,"Best Home, 1972"
00001459,Portrait of Woman with Dog
00001460,"Cherry Festival Float, 'Cherrys for All Nations.'"
00001461,"United States Postal Workers, February 9, 1950"
00001462,"San Leandro Bridge, 1972"
00001463,Group on Steps
00001466,Paul Codner by a Fountain at Cass Peralta Rest Home in the 1940s
00001467,"Paul Codner, Owner of Casa Peralta Rest Home"
00001468,Capt. Mulford Family on Porch of Mulford Ranch
00001469,Land Grant Map
00001470,"Home of Captain Mulford, ca 1890"
00001475,Balcony of Casa Peralta
00001476,Inside Walk of Casa Peralta
00001477,Casa Peralta Bell Tower
00001478,Tile at Casa Peralta
00001479,Wall at Casa Peralta
00001480,Courtyard at Casa Peralta
00001481,Front Steps of Casa Peralta
00001482,Casa Peralta
00001483,San Leandro Street Scene
00001484,"Daniel Best Agricultural Works, Davis St. from 1891 Catalog"
00001489,Best Manufacturing Company's early Tracklayer Models
00001491,New Best Steam Harvesters in 1889 - advertisement
00001496,San Leandro Steam and French Laundry
00001497,"Letter Written by George Mirande, 1971"
00001500,Caterpillar Tractor Co.
00001503,"San Leandro Steam and French Laundry, Laundry Equipment"
00001504,"San Leandro Steam and French Laundry, Laundry Equipment"
00001505,Lady on steps of 'Toler Home'
00001506,"Salina Peralta on the grounds of Casa Peralta, 1911"
00001521,Machine Shop where castings were machined into precision parts for the best steam tractor engine
00001523,"Best Manufacturing Co., Davis St., San Leandro ca 1904"
00001524,Best Steam Traction Engine Pulling a Best Combined Harvester No. 626
00001525,Best Sidehill Harvester
00001526,"Caterpillar Tractor Co., Peoria, Illinois"
00001527,Best Steam Tractor Engine Pulling Combined Harvester
00001528,Best Steam Traction Engine
00001529,"Best Manufacturing Co., about 1904"
00001530,"C. L. Best's early tracklayer '75' internal combustion engine listed at 75 horsepower, complete with power steering"
00001531,"Best Sixty Tractor Pulling Wagons, Max Penker and Sons, Cincinnati, Ohio"
00001532,"Best Tractor Pulling Wagons, 1904"
00001533,"Best Tractor Company, 1904"
00001534,"Best Manufacturing Company, 1904"
00001535,"Interior of Best Manufacturing Company, 1904"
00001536,"Best Tractors on Flat Bed, Best Manufacturing Company, 1904"
00001537,"Best Tractors at Work, 1904"
00001538,"Best Manufacturing Company, San Leandro Group Photograph, ca 1897"
00001539,"Best Tractors at Work, 1904"
00001561,Best Manufacturing Company 1905 Catalog
00001562,"Best Manufacturing Company Train Loading, ca 1905"
00001563,"Portrait of Daniel Best, ca 1897"
00001564,"Portrait of Daniel Best, ca 1920"
00001565,"Portrait of Daniel Best, ca 1920"
00001574,"Best Manufacturing Company, San Leandro, ca 1905"
00001575,"Best Harvester Load on a Train, ca 1905"
00001576,"Best Steamer Hauling Borax, ca 1905"
00001580,"Best Agricultural Works, ca 1887"
00001591,Best Manufacturing Company about 1889-90
00001592,Daniel Best's Grain Cleaner
00001595,Best Electric Vapor Motor for Street Car
00001597,"Traction Engine Tug-of War illustration, 1896"
00001598,"Best Manufacturing Company, probably in the Summer of 1898"
00001599,Best's Horseless Carriage
00001600,C. L. Best Driving a Recent Product of the Best Manufacturing Company of San Leandro
00001601,"Best Horseless Carriage, 1898"
00001602,"Horseless Carriage, 1898"
00001603,"Best Manufacturing Company, about 1900"
00001604,Best 'Baby Junior Sidehill Combined Harvester' No. 462 in front of Best Mfg. Co.
00001605,"The Best Manufacturing Company, about 1900"
00001606,Inside Best's Assembly Building Showing Several Steam Traction Engines Being Completed.
00001608,Best 110 h.p. Steam Straction Engine No. 114 Hauling a Two Story House
00001609,Recently Completed Best Steam Traction Engine Probably at San Leandro
00001610,Clarence Leo Best Taken about 1895-1900
00001611,Best 4 Cylinder 40 h.p. Gas Traction Engine No. 4 in 1910
00001612,C. L. Best Mfg. Company's early Tracklayer Models
00001614,Daniel Best and Family
00001615,"Best Bank Building, ca 1920"
00001616,"Best Bank Building, ca 1920"
00001617,"Inside the State Bank of California, San Leandro Branch, 1924"
00001623,Lottie
00001624,"Best Family Portrait, ca 1899"
00001629,"Ancient Order of United Workmen, ca 1898"
00001632,"New Officers, Alta Mira Club, Originally Ygnacio Peralta home, built in 1860, California Historical Landmark #285"
00001651,"Newspaper Clippings Regarding Historical Homes and Landmarks, Jan. 12, 1938"
00001652,Monument Marking Northern Boundary of Rancho San Leandro
00001671,"Restored Lincoln School, Joaquin and Clark St."
00001675,Jones Home?
00001677,Jones Family?
00001678,"Family Gathering at Jones Residence, ca 1910"
00001679,Jones Family Automobile Outing
00001681,"Family Gathering at Jones Residence, ca 1910"
00001682,"Lincoln School Class, 1916"
00001685,"Residence of Henry Z. Jones, 1916"
00001686,"Jones Family Automobile Outing, 1910"
00001687,"Union School Class, 1908"
00001688,"Lincoln School Class, 1916"
00001690,"Union School First Grade, 1908"
00001695,"Schmidt Feed and Fuel, 1915"
00001699,"Residence of Henry Z. Jones, 1910"
00001703,"Jones Residence, ca 1910"
00001704,"Front Gate of Jones Residence, ca 1910"
00001705,"Front Drive of Jones Residence, looking toward E14th Street, ca 1910"
00001706,"Front Drive of Jones Residence, ca 1910"
00001707,"Masonic Building, ca 1890"
00001709,Monarch Haypress Works
00001711,"Farrelly House, ca 1910"
00001712,"Jones Residence, ca 1910"
00001713,"Jones Residence, ca 1910"
00001714,"Jones Residence, ca 1910"
00001715,"Jones Residence, ca 1910"
00001716,"Jones Residence, ca 1910"
00001717,"Jones Residence, ca 1910"
00001718,"Driveway of Jones Residence, ca 1910"
00001721,"Jones Electric Car, ca 1910"
00001723,"Jones Residence, ca 1910"
00001725,"Jones Residence, Gate and Car, ca 1910"
00001729,"St. Mary's Convent School, Davis St., August 13, 1914"
00001730,"Daniel Best Theatre, San Leandro, August 13, 1914"
00001732,San Leandro Plaza
00001733,"Carnegie Public Library, Published in San Leandro Standard, August 13, 1914"
00001735,"Advertisment, Gannon's Men's Store"
00001738,"Part of Article, ' Educational Excellence.'"
00001742,Schmidt Feed and Fuel
00001750,"San Leandro Baseball Team at Ball Park, ca 1920"
00001764,"Alta Mira Club, formerly Ygnacio Peralta Home, 561 Lafayette Avenue"
00001776,"Jones Family, ca 1910"
00001781,William ' Bill' Mathews taken in front of UPEC building on E. 14th St.
00001785,Looking from T. P. Cary Home to Estudillo. San Jose and Estudillo Avenue
00001786,"Four young ladies, two young men, bicyclists"
00001787,"Cary Ranch, San Jose and Estudillo, January 1889"
00001788,"Home of T. P. Cary, Built 1878, Razed in 1926."
00001789,"Cherry Orchard, Estudillo Estates"
00001791,"A. B. Cary Home, Built 1889, Razed September 1971."
00001792,T. P. Cary and Daughter
00001805,San Leandro Standard promotion edition. Adver. For banks and letter to the editor
00001809,"Residence of Charles H. Hale, Cashier of First National Bank of San Leandro"
00001810,The First National Bank of San Leandro and the Bank of San Leandro
00001811,The H. F. Eber Meat Company Advertisement
00001822,"Old St. Leander's Catholic Church, West Estudillo and Clarke"
00001823,Presbyterian Church
00001824,"Masonic Temple, Corner of E. 14th St. and West Joaqmin"
00001826,"Best Tractor Company, View from the air"
00001830,"San Leandro Plaza, 1925"
00001835,"Presentation of Casa Peralta to city of San Leandro by Mr and Mrs Jack Brooks, October 1971"
00001836,"Acceptance of Casa Peralta by City Officials, October, 1971"
00001854,"Temple Beth Shalom, ca 1970"
00001858,"Union School and New Annex, ca 1890"
00001859,"Bell on Roof of Lincoln School, ca 1955"
00001860,"Bell on Roof of Lincoln School, ca 1955"
00001861,"Old St. Leander's Church and New St. Leander's Church, 1957"
00001862,"Union School Bell House, ca 1890"
00001863,"Union School with Bell, ca 1890"
00001872,"Preparation for Cherry Carnival Parade, Davis Street."
00001874,"Cherry Carnival Float, 1911. St. Mary's Convent in background."
00001877,"S. P. R. S. I. Drum Corps First Ladies, 1913"
00001889,"St. Mary's School Graduates, 1925"
00001890,"St. Mary's School 2nd-3rd Grades, 1925"
00001891,"St. Mary's School 2nd-3rd Grades, 1925"
00001900,"Broadmoor Home Development, ca 1910"
00001901,"Broadmoor Home Development, ca 1910"
00001910,"Lincoln School Class, December 25, 1911"
00001925,"St. Mary's School Play, 1896"
00001926,"Lincoln School Class, 1911"
00001929,"Employees of Best Foundry, ca 1900"
00001933,"Lincoln School Class, 1933"
00001937,"First Public Library in San Leandro, 1907"
00001938,"Manuel Enos's Grocery Store, ca 1920"
00001940,"Lincoln School Class, 1915"
00001945,"Courtyard at the Casa Peralta, 1958"
00001954,"Residence of Socrates Huff, 1898"
00001967,"Residence of Benjamin Hawes, 1898"
00001968,"Residence of Benjamin C. Hawes, 1898"
00001973,"San Leandro Plaza, ca 1945"
00001975,"Old St. Leander's Catholic Church, February 21, 1866"
00001980,"Estudillo Home, ca 1920"
00001981,"Union School, ca 1910"
00001988,"Lincoln School Class, 1918"
00001989,"Lincoln School Class, 1918"
00001991,"Store Owned by Joseph Herrscher, ca 1900"
00001992,"Lincoln School Graduation, ca 1920"
00002009,"Lincoln School Class, 1911"
00002012,"Lincoln School Class, ca 1912"
00002019,"Lincoln School Class, ca 1911"
00002026,"Union School Class, ca 1900"
00002027,"Lincoln School Faculty, 1912"
00002028,"West Pacific Railroad Freight Depot, April 1, 1909"
00002031,"Western Pacific Railroad Depot, 1910"
00002032,"Western Pacific Railroad Depot on opening day, August 29, 1910"
00002033,"Estudillo Residence, ca 1914"
00002036,"Clarence Rose and Automobile, 1927"
00002037,"Watt Bruner and Caroline Bruner, ca 1920"
00002038,"Lincoln School Class, ca 1920"
00002040,"Lincoln School Class, ca 1925"
00002041,"Lincoln School 3rd Grade Class, 1928"
00002044,"Street Scene in San Leandro, ca 1940"
00002049,"West Pacific Railroad Depot on Opening Day, August 29, 1910"
00002054,"Lincoln School Class, 1916"
00002056,Singer horse and wagon
00002086,"Residence of Colonel F.S. Hastings, 1909"
00002087,"Casa Peralta, 1909"
00002096,"Steeple of Little Brown Church, ca 1930"
00002097,"East 14th Street and Estudillo Avenue, M.C. King Auto Supplies, ca 1890"
00002098,"Outside of French Laundry, 1945"
00002099,"Inside of French Laundry, ca 1940"
00002100,"St. Joseph's Hall and thumb, ca 1914"
00002101,"San Leandro Plaza, 1885"
00002103,"St. Mary's School Class, ca 1922"
00002104,"McKinley School Class, ca 1923"
00002105,"McKinley School Class, ca 1920"
00002110,"All San Leandro School Bands, 1928"
00002112,"Breaking Ground for the Masonic Temple, 1910"
00002113,"Hudson Lumber Company, 1911"
00002114,"Cherry Festival Float, 1910"
00002115,"Cherry Festival Coach, 1910"
00002116,"Cherry Festival Coach, 1910"
00002117,"Cherry Festival Parade, 1910"
00002118,"Cherry Festival Queen, 1910"
00002119,"Cherry Festival Float, 1910"
00002121,"Bridge Over San Leandro Creek, 1910"
00002122,"Hudson Lumber Company, 1910"
00002123,"Hudson Lumber Company, 1910"
00002126,"Oyster Beds at Mulford Lodge, 1910"
00002127,"Herrscher Building, 1910"
00002128,"Oysters from Beds at Marina, 1910"
00002129,"Oyster Bed Harvest, 1910"
00002132,"Hudson Lumber Yard, 1910"
00002134,"Interior of Hudson Lumber Company, 1910"
00002137,"Cherry Festival, 1910"
